2014/12/20 16:07:33			用户名:WYF				分数:5
2014/12/20 16:10:25			用户名:WYF				分数:20
2014/12/20 16:13:09			用户名:WYF				分数:33
2014/12/20 16:21:46		用户名:asdf			分数:42
2014/12/20 16:23:36		用户名:WYF			分数:34
2014/12/20 16:25:45		用户名:WYF			分数:0
2014/12/20 16:28:10		用户名:WYF			分数:0
2014/12/20 16:30:27		用户名:WYF			分数:0
2014/12/20 16:34:11		用户名:WYF			分数:0
2014/12/20 16:34:48		用户名:WYF			分数:0
2014/12/20 16:35:12		用户名:WYF			分数:0
2014/12/20 16:35:44		用户名:WYF			分数:0
2014/12/20 17:00:27		用户名:WYF			分数:0
2014/12/20 17:01:23		用户名:WYF			分数:0
2014/12/20 17:02:48		用户名:WYF			分数:281
2014/12/20 17:08:27		用户名:WYF			分数:87
2014/12/20 17:11:16		用户名:WYF			分数:161
2014/12/20 17:21:42		用户名:mk			分数:8
2014/12/20 17:40:29		用户名:123			分数:4
2014/12/20 17:47:52		用户名:123			分数:6
2014/12/20 17:50:06		用户名:z			分数:3
2014/12/20 17:52:21		用户名:1			分数:0
2014/12/20 17:53:28		用户名:WYF			分数:9
2014/12/20 17:55:57		用户名:Y			分数:4
2014/12/20 17:58:12		用户名:M			分数:2
2014/12/20 18:22:38		用户名:KK			分数:5
2014/12/20 18:59:50		用户名:WYF			分数:9
2014/12/20 19:45:03		用户名:WYF			分数:2
2014/12/20 19:49:38		用户名:WYF			分数:8
2014/12/20 19:50:40		用户名:p			分数:9
2014/12/20 19:55:25		用户名:WYF			分数:6
2014/12/20 19:58:32		用户名:《			分数:12
2014/12/20 21:22:26		用户名:WYF			分数:0
2014/12/20 21:22:47		用户名:WYF			分数:9
2014/12/20 21:25:19		用户名:WYF			分数:0
2014/12/20 21:25:49		用户名:WYF			分数:0
2014/12/20 21:27:26		用户名:WYF			分数:25
2014/12/20 21:27:39		用户名:WYF			分数:50
2014/12/20 22:10:26		用户名:WYF			分数:0
2014/12/20 22:12:57		用户名:WYF			分数:14
2014/12/20 22:14:01		用户名:WYF			分数:0
2014/12/20 22:18:31		用户名:WYF			分数:28
2014/12/20 22:28:16		用户名:WYF			分数:19
2014/12/20 22:30:55		用户名:WYF			分数:22
2014/12/20 22:39:37		用户名:WYF			分数:8
2014/12/20 22:40:38		用户名:WYF			分数:47
2014/12/20 22:43:06		用户名:WYF			分数:12
2014/12/20 22:46:30		用户名:WYF			分数:8
2014/12/20 22:50:16		用户名:WYF			分数:55
2014/12/20 22:53:51		用户名:WYF			分数:80
2014/12/20 22:56:00		用户名:WYF			分数:24
2014/12/20 22:57:44		用户名:WYF			分数:29
2014/12/20 23:15:34		用户名:WYF			分数:38
2014/12/21 10:46:44		用户名:WYF			分数:15
2014/12/21 11:02:16		用户名:WYF			分数:21
2014/12/21 13:00:43		用户名:WYF			分数:16
2014/12/21 13:02:54		用户名:WYF			分数:0
2014/12/21 13:35:04		用户名:WYF			分数:15
2014/12/21 13:38:41		用户名:WYF			分数:0
2014/12/21 17:02:19		用户名:WYF			分数:16
2014/12/22 12:25:45		用户名:WYF			分数:6
2014/12/22 21:19:16		用户名:WYF			分数:0
2014/12/23 18:37:13		用户名:WYF			分数:0
2014/12/23 18:51:23		用户名:WYF			分数:38
2014/12/23 18:52:38		用户名:WYF			分数:36
2014/12/23 18:54:20		用户名:WYF			分数:58
2014/12/23 19:11:52		用户名:WYF			分数:78
2014/12/23 19:15:46		用户名:WYF			分数:136
2014/12/23 23:38:18		用户名:WYF			分数:10
2014/12/23 23:40:35		用户名:WYF			分数:0
2014/12/23 23:42:36		用户名:WYF			分数:2
2014/12/24 21:01:37		用户名:WYF			分数:10
2014/12/25 10:40:43		用户名:WYF			分数:23
2014/12/25 10:42:08		用户名:WYF			分数:0
2014/12/25 10:49:07		用户名:WYF			分数:86
2014/12/25 11:04:07		用户名:WYF			分数:21
2014/12/25 17:44:58		用户名:沈大琪			分数:25
2014/12/25 17:45:34		用户名:WYF			分数:40
2014/12/25 17:47:43		用户名:WYF			分数:31
2014/12/25 17:54:02		用户名:WYF			分数:44
2014/12/25 17:56:52		用户名:WYF			分数:94
2014/12/25 17:57:07		用户名:WYF			分数:0
2014/12/25 17:59:45		用户名:WYF			分数:55
2014/12/25 18:21:37		用户名:WYF			分数:0
2014/12/25 18:22:00		用户名:WYF			分数:0
2014/12/25 18:26:00		用户名:WYF			分数:55
2014/12/25 18:31:38		用户名:WYF			分数:9
2014/12/25 18:32:21		用户名:WYF			分数:0
2014/12/25 18:34:26		用户名:WYF			分数:107
2014/12/25 18:37:47		用户名:WYF			分数:19
2014/12/25 18:39:40		用户名:WYF			分数:2
2014/12/25 18:43:58		用户名:WYF			分数:53
2014/12/25 19:05:22		用户名:WYF			分数:0
2014/12/25 19:16:01		用户名:WYF			分数:25
2014/12/25 19:18:38		用户名:l			分数:14
2014/12/25 19:43:44		用户名:WYF			分数:0
2014/12/25 21:49:02		用户名:WYF			分数:0
2014/12/26 15:47:20		用户名:WYF			分数:36
2014/12/26 21:42:15		用户名:WYF			分数:0
2014/12/26 22:20:17		用户名:WYF			分数:34
2014/12/27 15:32:53		用户名:WYF			分数:0
2014/12/31 13:16:02		用户名:kjhk			分数:45
2015/01/12 21:52:56		用户名:WYF			分数:92
2015/01/17 00:09:46		用户名:WYF			分数:0
